drive,fileextension,filename,filepath,fullpath,hostname,username
c,dll,findnetprinters.dll,Windows\System32,c:\Windows\System32\findnetprinters.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,user32.dll,Windows\System32,C:\Windows\System32\user32.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,DLL,IMEPADSM.DLL,Windows\System32\IME\shared,c:\Windows\System32\IME\shared\IMEPADSM.DLL,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,umrdp.dll,Windows\System32,c:\Windows\System32\umrdp.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,cryptsvc.dll,Windows\System32,c:\Windows\System32\cryptsvc.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,DiagCpl.dll,Windows\System32,c:\Windows\System32\DiagCpl.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,auditpolicygpinterop.dll,Windows\System32,c:\Windows\System32\auditpolicygpinterop.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,msfeeds.dll,Windows\System32,c:\Windows\System32\msfeeds.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,comadmin.dll,Windows\System32\com,c:\Windows\System32\com\comadmin.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,ohci1394.sys,Windows\System32\drivers,c:\Windows\System32\drivers\ohci1394.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,BrUsbSer.sys,Windows\System32\drivers,c:\Windows\System32\drivers\BrUsbSer.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,wmiacpi.sys,Windows\System32\drivers,c:\Windows\System32\drivers\wmiacpi.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,certocm.dll,Windows\System32,c:\Windows\System32\certocm.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,shell32.dll,Windows\System32,C:\Windows\System32\shell32.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,tapi3.dll,Windows\SysWOW64,c:\Windows\SysWOW64\tapi3.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,vdrvroot.sys,Windows\System32\drivers,c:\Windows\System32\drivers\vdrvroot.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,remotepg.dll,Windows\System32,c:\Windows\System32\remotepg.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,bitsprx6.dll,Windows\SysWOW64,c:\Windows\SysWOW64\bitsprx6.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,xmlprovi.dll,Windows\System32,c:\Windows\System32\xmlprovi.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,blbdrive.sys,Windows\System32\drivers,c:\Windows\System32\drivers\blbdrive.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,dimsjob.dll,Windows\System32,c:\Windows\System32\dimsjob.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,ashShA64.dll,program files\avast software\Avast,c:\program files\avast software\Avast\ashShA64.dll,EC0003XSC,BUILTIN\Administrators
c,dll,puiapi.dll,Windows\System32,c:\Windows\System32\puiapi.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,ocx,dmview.ocx,Windows\System32,c:\Windows\System32\dmview.ocx,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,tsbyuv.dll,Windows\SysWOW64,c:\Windows\SysWOW64\tsbyuv.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,exe,onedrivesetup.exe,Windows\SysWOW64,c:\Windows\SysWOW64\onedrivesetup.exe,EC0003XSC,NT SERVICE\TrustedInstaller
c,exe,VSSVC.exe,Windows\System32,c:\Windows\System32\VSSVC.exe,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,KrnlProv.dll,Windows\System32\wbem,c:\Windows\System32\wbem\KrnlProv.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,rshx32.dll,Windows\SysWOW64,c:\Windows\SysWOW64\rshx32.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,winsockhc.dll,Windows\System32,c:\Windows\System32\winsockhc.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,netprof.dll,Windows\System32,c:\Windows\System32\netprof.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,srpuxnativesnapin.dll,Windows\System32,c:\Windows\System32\srpuxnativesnapin.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,ole32.dll,Windows\System32,C:\Windows\System32\ole32.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,netplwiz.dll,Windows\System32,c:\Windows\System32\netplwiz.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,exe,ieetwcollector.exe,Windows\System32,c:\Windows\System32\ieetwcollector.exe,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,msi.dll,Windows\SysWOW64,c:\Windows\SysWOW64\msi.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,ndistapi.sys,Windows\System32\drivers,c:\Windows\System32\drivers\ndistapi.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,cdrom.sys,Windows\System32\drivers,c:\Windows\System32\drivers\cdrom.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,ocx,hhctrl.ocx,Windows\System32,c:\Windows\System32\hhctrl.ocx,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,hnetcfg.dll,Windows\System32,c:\Windows\System32\hnetcfg.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,auxiliarydisplayapi.dll,Windows\System32,c:\Windows\System32\auxiliarydisplayapi.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,msyuv.dll,Windows\SysWOW64,c:\Windows\SysWOW64\msyuv.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,wincredprovider.dll,Windows\System32,c:\Windows\System32\wincredprovider.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,lltdsvc.dll,Windows\System32,c:\Windows\System32\lltdsvc.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,amstream.dll,Windows\System32,c:\Windows\System32\amstream.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,wmiperfclass.dll,Windows\SysWOW64\wbem,c:\Windows\SysWOW64\wbem\wmiperfclass.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,dao360.dll,Program Files (x86)\Common Files\Microsoft Shared\DAO,C:\Program Files (x86)\Common Files\Microsoft Shared\DAO\dao360.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,scwsceext.dll,Windows\System32,c:\Windows\System32\scwsceext.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,firewallapi.dll,Windows\SysWOW64,c:\Windows\SysWOW64\firewallapi.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,gpsvc.dll,Windows\System32,c:\Windows\System32\gpsvc.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,onedrivesettingsyncprovider.dll,Windows\System32,c:\Windows\System32\onedrivesettingsyncprovider.dll,EC0003XSC,NT SERVICE\TrustedInstaller
c,dll,msdtckrm.dll,Windows\System32,c:\Windows\System32\msdtckrm.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,xmlfilter.dll,Windows\System32,c:\Windows\System32\xmlfilter.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,schannel.dll,Windows\System32,c:\Windows\System32\schannel.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,RDPENCDD.sys,Windows\System32\drivers,c:\Windows\System32\drivers\RDPENCDD.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,umpass.sys,Windows\System32\drivers,c:\Windows\System32\drivers\umpass.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,windowscodecs.dll,Windows\System32,c:\Windows\System32\windowscodecs.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,WsmAuto.dll,Windows\SysWOW64,c:\Windows\SysWOW64\WsmAuto.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,smartcardcredentialprovider.dll,Windows\SysWOW64,C:\Windows\SysWOW64\smartcardcredentialprovider.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,midimap.dll,Windows\SysWOW64,c:\Windows\SysWOW64\midimap.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,imkrapi.dll,Windows\System32\IME\imekr8,c:\Windows\System32\IME\imekr8\imkrapi.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,cpl,intl.cpl,Windows\System32,c:\Windows\System32\intl.cpl,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,uiautomationcore.dll,Windows\SysWOW64,c:\Windows\SysWOW64\uiautomationcore.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,sacdrv.sys,Windows\System32\drivers,c:\Windows\System32\drivers\sacdrv.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,BrFiltLo.sys,Windows\System32\drivers,c:\Windows\System32\drivers\BrFiltLo.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,WUDFPf.sys,Windows\System32\drivers,c:\Windows\System32\drivers\WUDFPf.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,BrUsbMdm.sys,Windows\System32\drivers,c:\Windows\System32\drivers\BrUsbMdm.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,Faultrep.dll,Windows\SysWOW64,c:\Windows\SysWOW64\Faultrep.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,sxsstore.dll,Windows\System32,c:\Windows\System32\sxsstore.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,sqlceoledb30.dll,Windows\System32,c:\Windows\System32\sqlceoledb30.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,rpcrt4.dll,Windows\System32,C:\Windows\System32\rpcrt4.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,mmcaspext.dll,Windows\microsoft.net\framework64\v4.0.30319,c:\Windows\microsoft.net\framework64\v4.0.30319\mmcaspext.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,dplayx.dll,Windows\SysWOW64,C:\Windows\SysWOW64\dplayx.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,smb.sys,Windows\System32\drivers,c:\Windows\System32\drivers\smb.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,mprsnap.dll,Windows\System32,c:\Windows\System32\mprsnap.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,MSTTSCommon.dll,Program Files\Common Files\SpeechEngines\Microsoft\TTS20,C:\Program Files\Common Files\SpeechEngines\Microsoft\TTS20\MSTTSCommon.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,stdprov.dll,Windows\System32\wbem,c:\Windows\System32\wbem\stdprov.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,prntvpt.dll,Windows\System32,c:\Windows\System32\prntvpt.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,dskquoui.dll,Windows\SysWOW64,c:\Windows\SysWOW64\dskquoui.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,msrdpwebaccess.dll,Windows\System32,c:\Windows\System32\msrdpwebaccess.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,trkwks.dll,Windows\System32,c:\Windows\System32\trkwks.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,exe,dllhost.exe,Windows\System32,c:\Windows\System32\dllhost.exe,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,ntlanui2.dll,Windows\System32,c:\Windows\System32\ntlanui2.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,jscript.dll,Windows\SysWOW64,c:\Windows\SysWOW64\jscript.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,compbatt.sys,Windows\System32\drivers,c:\Windows\System32\drivers\compbatt.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,vssapi.dll,Windows\System32,c:\Windows\System32\vssapi.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,WMPhoto.dll,Windows\System32,c:\Windows\System32\WMPhoto.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,azroles.dll,Windows\System32,c:\Windows\System32\azroles.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,ax,ksproxy.ax,Windows\System32,c:\Windows\System32\ksproxy.ax,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,http.sys,Windows\System32\drivers,c:\Windows\System32\drivers\http.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,dxdiagn.dll,Windows\SysWOW64,c:\Windows\SysWOW64\dxdiagn.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,imkrtip.dll,Windows\System32\IME\imekr8,c:\Windows\System32\IME\imekr8\imkrtip.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,exe,spoolsv.exe,Windows\System32,c:\Windows\System32\spoolsv.exe,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,correngine.dll,Windows\System32,c:\Windows\System32\correngine.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,cmmigr.dll,Windows\System32\Setup,c:\Windows\System32\Setup\cmmigr.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,afd.sys,Windows\System32\drivers,c:\Windows\System32\drivers\afd.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,taskbarcpl.dll,Windows\System32,c:\Windows\System32\taskbarcpl.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,b57nd60a.sys,Windows\System32\drivers,c:\Windows\System32\drivers\b57nd60a.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,DLL,MSCAND20.DLL,Windows\System32\IME\shared,c:\Windows\System32\IME\shared\MSCAND20.DLL,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,dot3gpui.dll,Windows\SysWOW64,c:\Windows\SysWOW64\dot3gpui.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,appidpolicyengineapi.dll,Windows\SysWOW64,c:\Windows\SysWOW64\appidpolicyengineapi.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,termsrv.dll,Windows\System32,c:\Windows\System32\termsrv.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,srmscan.dll,Windows\System32,c:\Windows\System32\srmscan.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,rassfm.dll,Windows\System32,c:\Windows\System32\rassfm.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,imagehlp.dll,Windows\System32,C:\Windows\System32\imagehlp.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,dxtrans.dll,Windows\System32,c:\Windows\System32\dxtrans.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,vdsvd.dll,Windows\System32,c:\Windows\System32\vdsvd.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,rshx32.dll,Windows\System32,c:\Windows\System32\rshx32.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,wsecedit.dll,Windows\System32,c:\Windows\System32\wsecedit.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,wbemsvc.dll,Windows\System32\wbem,c:\Windows\System32\wbem\wbemsvc.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,eapahost.dll,Windows\System32,c:\Windows\System32\eapahost.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,win32_tpm.dll,Windows\System32\wbem,c:\Windows\System32\wbem\win32_tpm.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,L2SecHC.dll,Windows\System32,c:\Windows\System32\L2SecHC.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,swenum.sys,Windows\System32\drivers,c:\Windows\System32\drivers\swenum.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,uiautomationcore.dll,Windows\System32,c:\Windows\System32\uiautomationcore.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,exe,systempropertiesperformance.exe,Windows\System32,C:\Windows\System32\systempropertiesperformance.exe,EC0003XSC,NT AUTHORITY\SYSTEM
c,ocx,msscript.ocx,Windows\SysWOW64,c:\Windows\SysWOW64\msscript.ocx,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,stclient.dll,Windows\System32,c:\Windows\System32\stclient.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,WLanHC.dll,Windows\System32,c:\Windows\System32\WLanHC.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,TsUsbGD.sys,Windows\System32\drivers,c:\Windows\System32\drivers\TsUsbGD.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,DLL,BFE.DLL,Windows\System32,c:\Windows\System32\BFE.DLL,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,iasrecst.dll,Windows\System32,c:\Windows\System32\iasrecst.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,xwizards.dll,Windows\System32,c:\Windows\System32\xwizards.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,adp94xx.sys,Windows\System32\drivers,c:\Windows\System32\drivers\adp94xx.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,nlmgp.dll,Windows\System32,c:\Windows\System32\nlmgp.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,iertutil.dll,Windows\System32,C:\Windows\System32\iertutil.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,scwregistryext.dll,Windows\System32,c:\Windows\System32\scwregistryext.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,bidispl.dll,Windows\System32,c:\Windows\System32\bidispl.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,Wdf01000.sys,Windows\System32\drivers,c:\Windows\System32\drivers\Wdf01000.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,dskquota.dll,Windows\System32,c:\Windows\System32\dskquota.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,psapi.dll,Windows\System32,C:\Windows\System32\psapi.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,msieftp.dll,Windows\System32,c:\Windows\System32\msieftp.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,devicedisplaystatusmanager.dll,Windows\SysWOW64,c:\Windows\SysWOW64\devicedisplaystatusmanager.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,swprv.dll,Windows\System32,c:\Windows\System32\swprv.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,certenc.dll,Windows\System32,c:\Windows\System32\certenc.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,NcdProp.dll,Windows\System32,c:\Windows\System32\NcdProp.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,uxsms.dll,Windows\System32,c:\Windows\System32\uxsms.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,intelide.sys,Windows\System32\drivers,c:\Windows\System32\drivers\intelide.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,cimwin32.dll,Windows\System32\wbem,c:\Windows\System32\wbem\cimwin32.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,fdc.sys,Windows\System32\drivers,c:\Windows\System32\drivers\fdc.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,taskschdps.dll,Windows\System32,c:\Windows\System32\taskschdps.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,scwserviceext.dll,Windows\System32,c:\Windows\System32\scwserviceext.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,dskquoui.dll,Windows\System32,c:\Windows\System32\dskquoui.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,asOutExt.dll,program files\avast software\Avast,c:\program files\avast software\Avast\asOutExt.dll,EC0003XSC,BUILTIN\Administrators
c,dll,stobject.dll,Windows\System32,c:\Windows\System32\stobject.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,dinput.dll,Windows\System32,c:\Windows\System32\dinput.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,FCRegSvc.dll,Windows\System32,c:\Windows\System32\FCRegSvc.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,PolicMan.dll,Windows\System32\wbem,c:\Windows\System32\wbem\PolicMan.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,els.dll,Windows\System32,c:\Windows\System32\els.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,psmodulediscoveryprovider.dll,Windows\System32,c:\Windows\System32\psmodulediscoveryprovider.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,ServDeps.dll,Windows\System32\wbem,c:\Windows\System32\wbem\ServDeps.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,pbkmigr.dll,Windows\System32\Setup,c:\Windows\System32\Setup\pbkmigr.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,scrrun.dll,Windows\SysWOW64,c:\Windows\SysWOW64\scrrun.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,photometadatahandler.dll,Windows\System32,c:\Windows\System32\photometadatahandler.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,ax,Kswdmcap.ax,Windows\System32,c:\Windows\System32\Kswdmcap.ax,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,ndiscapcfg.dll,Windows\System32,c:\Windows\System32\ndiscapcfg.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,exe,trustedinstaller.exe,Windows\servicing,c:\Windows\servicing\trustedinstaller.exe,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,PEAuth.sys,Windows\System32\drivers,c:\Windows\System32\drivers\PEAuth.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,wups.dll,Windows\SysWOW64,c:\Windows\SysWOW64\wups.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,tschannel.dll,Windows\SysWOW64,c:\Windows\SysWOW64\tschannel.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,usbehci.sys,Windows\System32\drivers,c:\Windows\System32\drivers\usbehci.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,wbemdisp.dll,Windows\System32\wbem,c:\Windows\System32\wbem\wbemdisp.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,iirsp.sys,Windows\System32\drivers,c:\Windows\System32\drivers\iirsp.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,signdrv.dll,Windows\System32,c:\Windows\System32\signdrv.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,profprov.dll,Windows\System32,c:\Windows\System32\profprov.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,shacct.dll,Windows\System32,c:\Windows\System32\shacct.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,pnpxassoc.dll,Windows\System32,c:\Windows\System32\pnpxassoc.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,IMTCTIP.dll,Windows\System32\IME\IMETC10,c:\Windows\System32\IME\IMETC10\IMTCTIP.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,winrssrv.dll,Windows\System32,c:\Windows\System32\winrssrv.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,rasl2tp.sys,Windows\System32\drivers,c:\Windows\System32\drivers\rasl2tp.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,wimmount.sys,Windows\System32\drivers,c:\Windows\System32\drivers\wimmount.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,wmiperfinst.dll,Windows\SysWOW64\wbem,c:\Windows\SysWOW64\wbem\wmiperfinst.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,stornvme.sys,Windows\System32\drivers,c:\Windows\System32\drivers\stornvme.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,dsdmo.dll,Windows\System32,c:\Windows\System32\dsdmo.dll,EC0003XSC,NT AUTHORITY\SYSTEM
C,dll,WSDMon.dll,Windows\System32,C:\Windows\System32\WSDMon.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,opcservices.dll,Windows\System32,c:\Windows\System32\opcservices.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,dsprop.dll,Windows\System32,c:\Windows\System32\dsprop.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,VMBusHID.sys,Windows\System32\drivers,c:\Windows\System32\drivers\VMBusHID.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,IMSCTIP.dll,Windows\System32\IME\IMESC5,c:\Windows\System32\IME\IMESC5\IMSCTIP.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,jsIntl.dll,Windows\SysWOW64,c:\Windows\SysWOW64\jsIntl.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,accessibilitycpl.dll,Windows\System32,c:\Windows\System32\accessibilitycpl.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,sys,sfloppy.sys,Windows\System32\drivers,c:\Windows\System32\drivers\sfloppy.sys,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,nlhtml.dll,Windows\System32,c:\Windows\System32\nlhtml.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,qmgrprxy.dll,Windows\System32,c:\Windows\System32\qmgrprxy.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,mstsmmc.dll,Windows\System32,c:\Windows\System32\mstsmmc.dll,EC0003XSC,NT AUTHORITY\SYSTEM
c,dll,pngfilt.dll,Windows\SysWOW64,c:\Windows\SysWOW64\pngfilt.dll,EC0003XSC,NT AUTHORITY\SYSTEM
