hostname,modulename,modulepath
EC0003XSC,msisadrv.sys,C:\Windows\system32\drivers\
EC0003XSC,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,afd.sys,C:\Windows\system32\drivers\
EC0004NDO,ndistapi.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,kdcom.dll,C:\Windows\system32\
EC0004NDO,pacer.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,lltdio.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,volsnap.sys,C:\Windows\system32\drivers\
EC0004NDO,termdd.sys,C:\Windows\system32\drivers\
EC0004NDO,Npfs.SYS,C:\Windows\System32\Drivers\
EC0004NDO,amdxata.sys,C:\Windows\system32\drivers\
EC0004NDO,Wdf01000.sys,C:\Windows\system32\drivers\
EC0004NDO,ksecpkg.sys,C:\Windows\System32\Drivers\
EC0004NDO,TSDDD.dll,C:\Windows\System32\
EC0004NDO,Ntfs.sys,C:\Windows\System32\Drivers\
EC0004NDO,netbt.sys,C:\Windows\System32\DRIVERS\
EC0004NDO,umbus.sys,C:\Windows\system32\drivers\
EC0004NDO,dxg.sys,C:\Windows\System32\drivers\
EC0004NDO,ksecdd.sys,C:\Windows\System32\Drivers\
EC0004NDO,tssecsrv.sys,C:\Windows\System32\DRIVERS\
EC0004NDO,netbios.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,msisadrv.sys,C:\Windows\system32\drivers\
EC0004NDO,rspndr.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,raspptp.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,CLASSPNP.SYS,C:\Windows\system32\drivers\
EC0004NDO,tdx.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,raspppoe.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,hal.dll,C:\Windows\system32\
EC0004NDO,win32k.sys,C:\Windows\System32\
EC0004NDO,tdtcp.sys,C:\Windows\system32\drivers\
EC0004NDO,srv.sys,C:\Windows\System32\DRIVERS\
EC0004NDO,rassstp.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,pcw.sys,C:\Windows\System32\drivers\
EC0004NDO,discache.sys,C:\Windows\System32\drivers\
EC0004NDO,pci.sys,C:\Windows\system32\drivers\
EC0004NDO,bowser.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,tcpip.sys,C:\Windows\System32\drivers\
EC0004NDO,serial.sys,C:\Windows\system32\drivers\
EC0004NDO,intelppm.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,msrpc.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,wanarp.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,sacdrv.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,TDI.SYS,C:\Windows\system32\DRIVERS\
EC0004NDO,Null.SYS,C:\Windows\System32\Drivers\
EC0004NDO,i8042prt.sys,C:\Windows\system32\drivers\
EC0004NDO,ACPI.sys,C:\Windows\system32\drivers\
EC0004NDO,rdprefmp.sys,C:\Windows\system32\drivers\
EC0004NDO,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
EC0004NDO,AgileVpn.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,CLFS.SYS,C:\Windows\system32\
EC0004NDO,rdpencdd.sys,C:\Windows\system32\drivers\
EC0004NDO,ks.sys,C:\Windows\system32\drivers\
EC0004NDO,CI.dll,C:\Windows\system32\
EC0004NDO,RDPWD.SYS,C:\Windows\System32\Drivers\
EC0004NDO,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,vdrvroot.sys,C:\Windows\system32\drivers\
EC0004NDO,mountmgr.sys,C:\Windows\System32\drivers\
EC0004NDO,storport.sys,C:\Windows\system32\drivers\
EC0004NDO,Dxapi.sys,C:\Windows\System32\drivers\
EC0004NDO,fltmgr.sys,C:\Windows\system32\drivers\
EC0004NDO,nsiproxy.sys,C:\Windows\system32\drivers\
EC0004NDO,vmstorfl.sys,C:\Windows\system32\drivers\
EC0004NDO,luafv.sys,C:\Windows\system32\drivers\
EC0004NDO,spsys.sys,C:\Windows\system32\drivers\
EC0004NDO,NETIO.SYS,C:\Windows\system32\DRIVERS\
EC0004NDO,mssmbios.sys,C:\Windows\system32\drivers\
EC0004NDO,fwpkclnt.sys,C:\Windows\System32\drivers\
EC0004NDO,Fs_Rec.sys,C:\Windows\System32\Drivers\
EC0004NDO,volmgr.sys,C:\Windows\system32\drivers\
EC0004NDO,tunnel.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,RDPCDD.sys,C:\Windows\System32\DRIVERS\
EC0004NDO,NDIS.SYS,C:\Windows\system32\DRIVERS\
EC0004NDO,rdpdr.sys,C:\Windows\System32\drivers\
EC0004NDO,hwpolicy.sys,C:\Windows\System32\drivers\
EC0004NDO,mrxsmb.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,Msfs.SYS,C:\Windows\System32\Drivers\
EC0004NDO,NDProxy.SYS,C:\Windows\System32\Drivers\
EC0004NDO,HTTP.sys,C:\Windows\system32\drivers\
EC0004NDO,swenum.sys,C:\Windows\system32\drivers\
EC0004NDO,rdpbus.sys,C:\Windows\system32\drivers\
EC0004NDO,dump_vioscsi.sys,C:\Windows\System32\Drivers\
EC0004NDO,WMILIB.SYS,C:\Windows\system32\drivers\
EC0004NDO,ndiswan.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,vga.sys,C:\Windows\System32\drivers\
EC0004NDO,dump_storport.sys,C:\Windows\System32\Drivers\
EC0004NDO,partmgr.sys,C:\Windows\System32\drivers\
EC0004NDO,RDPDD.dll,C:\Windows\System32\
EC0004NDO,mouclass.sys,C:\Windows\system32\drivers\
EC0004NDO,watchdog.sys,C:\Windows\System32\drivers\
EC0004NDO,pvpanic.sys,C:\Windows\system32\drivers\
EC0004NDO,disk.sys,C:\Windows\system32\drivers\
EC0004NDO,tcpipreg.sys,C:\Windows\System32\drivers\
EC0004NDO,dfsc.sys,C:\Windows\System32\Drivers\
EC0004NDO,kbdclass.sys,C:\Windows\system32\drivers\
EC0004NDO,wfplwf.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,PSHED.dll,C:\Windows\system32\
EC0004NDO,volmgrx.sys,C:\Windows\System32\drivers\
EC0004NDO,mpsdrv.sys,C:\Windows\System32\drivers\
EC0004NDO,rdbss.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,srvnet.sys,C:\Windows\System32\DRIVERS\
EC0004NDO,blbdrive.sys,C:\Windows\system32\drivers\
EC0004NDO,spldr.sys,C:\Windows\System32\Drivers\
EC0004NDO,cng.sys,C:\Windows\System32\Drivers\
EC0004NDO,mup.sys,C:\Windows\System32\Drivers\
EC0004NDO,vioscsi.sys,C:\Windows\system32\drivers\
EC0004NDO,WDFLDR.SYS,C:\Windows\system32\drivers\
EC0004NDO,serenum.sys,C:\Windows\system32\drivers\
EC0004NDO,crashdmp.sys,C:\Windows\System32\Drivers\
EC0004NDO,VIDEOPRT.SYS,C:\Windows\System32\drivers\
EC0004NDO,asyncmac.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,srv2.sys,C:\Windows\System32\DRIVERS\
EC0004NDO,netkvm.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,peauth.sys,C:\Windows\system32\drivers\
EC0004NDO,ntoskrnl.exe,C:\Windows\system32\
EC0004NDO,rasl2tp.sys,C:\Windows\system32\DRIVERS\
EC0004NDO,CompositeBus.sys,C:\Windows\system32\drivers\
EE0008QXW,cmimcext.sys,C:\Windows\System32\drivers\
EE0008QXW,terminpt.sys,C:\Windows\System32\drivers\
EE0008QXW,Fs_Rec.sys,C:\Windows\System32\Drivers\
EE0008QXW,BasicRender.sys,C:\Windows\System32\drivers\
EE0008QXW,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
EE0008QXW,srv.sys,C:\Windows\System32\DRIVERS\
EE0008QXW,CLASSPNP.SYS,C:\Windows\System32\drivers\
EE0008QXW,tm.sys,C:\Windows\System32\drivers\
EE0008QXW,BasicDisplay.sys,C:\Windows\System32\drivers\
EE0008QXW,TDI.SYS,C:\Windows\system32\DRIVERS\
EE0008QXW,dump_storport.sys,C:\Windows\System32\Drivers\
EE0008QXW,cdd.dll,C:\Windows\System32\
EE0008QXW,disk.sys,C:\Windows\System32\drivers\
EE0008QXW,ahcache.sys,C:\Windows\system32\DRIVERS\
EE0008QXW,registry.sys,C:\Windows\System32\drivers\
EE0008QXW,wfplwfs.sys,C:\Windows\System32\drivers\
EE0008QXW,WMILIB.SYS,C:\Windows\System32\drivers\
EE0008QXW,hal.dll,C:\Windows\system32\
EE0008QXW,msrpc.sys,C:\Windows\System32\drivers\
EE0008QXW,ksecpkg.sys,C:\Windows\System32\Drivers\
EE0008QXW,dxgkrnl.sys,C:\Windows\System32\drivers\
EE0008QXW,Wof.sys,C:\Windows\System32\Drivers\
EE0008QXW,mpsdrv.sys,C:\Windows\System32\drivers\
EE0008QXW,cng.sys,C:\Windows\System32\drivers\
EE0008QXW,Npfs.SYS,C:\Windows\System32\Drivers\
EE0008QXW,win32kfull.sys,C:\Windows\System32\
EE0008QXW,partmgr.sys,C:\Windows\System32\drivers\
EE0008QXW,mup.sys,C:\Windows\System32\Drivers\
EE0008QXW,pcw.sys,C:\Windows\System32\drivers\
EE0008QXW,fwpkclnt.sys,C:\Windows\System32\drivers\
EE0008QXW,netbios.sys,C:\Windows\system32\drivers\
EE0008QXW,ksecdd.sys,C:\Windows\System32\drivers\
EE0008QXW,HIDPARSE.SYS,C:\Windows\System32\drivers\
EE0008QXW,kbdclass.sys,C:\Windows\System32\drivers\
EE0008QXW,storqosflt.sys,C:\Windows\system32\drivers\
EE0008QXW,afd.sys,C:\Windows\system32\drivers\
EE0008QXW,win32k.sys,C:\Windows\System32\
EE0008QXW,CI.dll,C:\Windows\system32\
EE0008QXW,serial.sys,C:\Windows\System32\drivers\
EE0008QXW,NDIS.SYS,C:\Windows\system32\DRIVERS\
EE0008QXW,tcpip.sys,C:\Windows\System32\drivers\
EE0008QXW,i8042prt.sys,C:\Windows\System32\drivers\
EE0008QXW,ntosext.sys,C:\Windows\System32\drivers\
EE0008QXW,sacdrv.sys,C:\Windows\system32\DRIVERS\
EE0008QXW,serenum.sys,C:\Windows\System32\drivers\
EE0008QXW,ntoskrnl.exe,C:\Windows\system32\
EE0008QXW,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
EE0008QXW,NETIO.SYS,C:\Windows\system32\DRIVERS\
EE0008QXW,mrxsmb.sys,C:\Windows\system32\DRIVERS\
EE0008QXW,tbs.sys,C:\Windows\system32\drivers\
EE0008QXW,umbus.sys,C:\Windows\System32\drivers\
EE0008QXW,volsnap.sys,C:\Windows\System32\drivers\
EE0008QXW,storport.sys,C:\Windows\System32\drivers\
EE0008QXW,Null.SYS,C:\Windows\System32\Drivers\
EE0008QXW,werkernel.sys,C:\Windows\System32\drivers\
EE0008QXW,CLFS.SYS,C:\Windows\System32\drivers\
EE0008QXW,NTFS.sys,C:\Windows\System32\Drivers\
EE0008QXW,tunnel.sys,C:\Windows\System32\drivers\
EE0008QXW,CEA.sys,C:\Windows\system32\drivers\
EE0008QXW,NdisVirtualBus.sys,C:\Windows\System32\drivers\
EE0008QXW,tcpipreg.sys,C:\Windows\System32\drivers\
EE0008QXW,rdpvideominiport.sys,C:\Windows\System32\drivers\
EE0008QXW,nsiproxy.sys,C:\Windows\system32\drivers\
EE0008QXW,rdpdr.sys,C:\Windows\System32\drivers\
EE0008QXW,mmcss.sys,C:\Windows\system32\drivers\
EE0008QXW,TSDDD.dll,C:\Windows\System32\
EE0008QXW,WppRecorder.sys,C:\Windows\System32\Drivers\
EE0008QXW,bowser.sys,C:\Windows\system32\DRIVERS\
EE0008QXW,EhStorClass.sys,C:\Windows\System32\drivers\
EE0008QXW,Wdf01000.sys,C:\Windows\system32\drivers\
EE0008QXW,clipsp.sys,C:\Windows\System32\drivers\
EE0008QXW,intelpep.sys,C:\Windows\System32\drivers\
EE0008QXW,vdrvroot.sys,C:\Windows\System32\drivers\
EE0008QXW,srvnet.sys,C:\Windows\System32\DRIVERS\
EE0008QXW,FLTMGR.SYS,C:\Windows\System32\drivers\
EE0008QXW,ks.sys,C:\Windows\System32\drivers\
EE0008QXW,RDPUDD.dll,C:\Windows\System32\
EE0008QXW,netkvm.sys,C:\Windows\System32\drivers\
EE0008QXW,intelppm.sys,C:\Windows\System32\drivers\
EE0008QXW,BOOTVID.dll,C:\Windows\system32\
EE0008QXW,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_a140581a8f8b58b7\
EE0008QXW,WindowsTrustedRT.sys,C:\Windows\system32\drivers\
EE0008QXW,acpiex.sys,C:\Windows\System32\Drivers\
EE0008QXW,wcifs.sys,C:\Windows\system32\drivers\
EE0008QXW,mssmbios.sys,C:\Windows\System32\drivers\
EE0008QXW,dfsc.sys,C:\Windows\System32\Drivers\
EE0008QXW,WdFilter.sys,C:\Windows\system32\drivers\
EE0008QXW,volume.sys,C:\Windows\System32\drivers\
EE0008QXW,dxgmms2.sys,C:\Windows\System32\drivers\
EE0008QXW,watchdog.sys,C:\Windows\System32\drivers\
EE0008QXW,volmgrx.sys,C:\Windows\System32\drivers\
EE0008QXW,gpuenergydrv.sys,C:\Windows\System32\drivers\
EE0008QXW,WindowsTrustedRTProxy.sys,C:\Windows\System32\drivers\
EE0008QXW,Msfs.SYS,C:\Windows\System32\Drivers\
EE0008QXW,swenum.sys,C:\Windows\System32\drivers\
EE0008QXW,HTTP.sys,C:\Windows\system32\drivers\
EE0008QXW,rdpbus.sys,C:\Windows\System32\drivers\
EE0008QXW,dump_vioscsi.sys,C:\Windows\System32\Drivers\
EE0008QXW,npsvctrig.sys,C:\Windows\System32\drivers\
EE0008QXW,pci.sys,C:\Windows\System32\drivers\
EE0008QXW,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
EE0008QXW,WDFLDR.SYS,C:\Windows\system32\drivers\
EE0008QXW,pdc.sys,C:\Windows\system32\drivers\
EE0008QXW,filecrypt.sys,C:\Windows\system32\drivers\
EE0008QXW,win32kbase.sys,C:\Windows\System32\
EE0008QXW,kdnic.sys,C:\Windows\System32\drivers\
EE0008QXW,peauth.sys,C:\Windows\system32\drivers\
EE0008QXW,mountmgr.sys,C:\Windows\System32\drivers\
EE0008QXW,volmgr.sys,C:\Windows\System32\drivers\
EE0008QXW,srv2.sys,C:\Windows\System32\DRIVERS\
EE0008QXW,mslldp.sys,C:\Windows\system32\drivers\
EE0008QXW,monitor.sys,C:\Windows\System32\drivers\
EE0008QXW,spaceport.sys,C:\Windows\System32\drivers\
EE0008QXW,lltdio.sys,C:\Windows\system32\drivers\
EE0008QXW,pacer.sys,C:\Windows\System32\drivers\
EE0008QXW,tdx.sys,C:\Windows\system32\DRIVERS\
EE0008QXW,vioscsi.sys,C:\Windows\System32\drivers\
EE0008QXW,pvpanic.sys,C:\Windows\System32\drivers\
EE0008QXW,msisadrv.sys,C:\Windows\System32\drivers\
EE0008QXW,rdbss.sys,C:\Windows\system32\DRIVERS\
EE0008QXW,netbt.sys,C:\Windows\System32\DRIVERS\
EE0008QXW,mouclass.sys,C:\Windows\System32\drivers\
EE0008QXW,condrv.sys,C:\Windows\System32\drivers\
EE0008QXW,PSHED.dll,C:\Windows\system32\
EE0008QXW,kdcom.dll,C:\Windows\system
EE0008QXW,crashdmp.sys,C:\Windows\System32\Drivers\
EE0008QXW,rspndr.sys,C:\Windows\system32\drivers\
EE0008QXW,ACPI.sys,C:\Windows\System32\drivers\
EE0008QXW,luafv.sys,C:\Windows\system32\drivers\
ET0005XSC,WMILIB.SYS,C:\Windows\system32\drivers\
ET0005XSC,tcpipreg.sys,C:\Windows\System32\drivers\
ET0005XSC,peauth.sys,C:\Windows\system32\drivers\
ET0005XSC,HIDPARSE.SYS,C:\Windows\system32\DRIVERS\
ET0005XSC,mpsdrv.sys,C:\Windows\System32\drivers\
ET0005XSC,USBPORT.SYS,C:\Windows\system32\DRIVERS\
ET0005XSC,Beep.SYS,C:\Windows\System32\Drivers\
ET0005XSC,srv.sys,C:\Windows\System32\DRIVERS\
ET0005XSC,raspppoe.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,afd.sys,C:\Windows\system32\drivers\
ET0005XSC,rdyboost.sys,C:\Windows\System32\drivers\
ET0005XSC,dump_dumpfve.sys,C:\Windows\System32\Drivers\
ET0005XSC,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,ksthunk.sys,C:\Windows\system32\drivers\
ET0005XSC,dxg.sys,C:\Windows\System32\drivers\
ET0005XSC,CLFS.SYS,C:\Windows\system32\
ET0005XSC,NETIO.SYS,C:\Windows\system32\drivers\
ET0005XSC,drmk.sys,C:\Windows\system32\drivers\
ET0005XSC,netbt.sys,C:\Windows\System32\DRIVERS\
ET0005XSC,Dxapi.sys,C:\Windows\System32\drivers\
ET0005XSC,kbdclass.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,watchdog.sys,C:\Windows\System32\drivers\
ET0005XSC,PSHED.dll,C:\Windows\system32\
ET0005XSC,mup.sys,C:\Windows\System32\Drivers\
ET0005XSC,swenum.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,vdrvroot.sys,C:\Windows\system32\drivers\
ET0005XSC,vga.sys,C:\Windows\System32\drivers\
ET0005XSC,CI.dll,C:\Windows\system32\
ET0005XSC,srv2.sys,C:\Windows\System32\DRIVERS\
ET0005XSC,compbatt.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,lltdio.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,VBoxMouse.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,tcpip.sys,C:\Windows\System32\drivers\
ET0005XSC,CompositeBus.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,mountmgr.sys,C:\Windows\System32\drivers\
ET0005XSC,PCIIDEX.SYS,C:\Windows\system32\drivers\
ET0005XSC,VBoxSF.sys,C:\Windows\System32\drivers\
ET0005XSC,ndiswan.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,spldr.sys,C:\Windows\System32\Drivers\
ET0005XSC,HdAudio.sys,C:\Windows\system32\drivers\
ET0005XSC,TSDDD.dll,C:\Windows\System32\
ET0005XSC,cdrom.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,mouclass.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,srvnet.sys,C:\Windows\System32\DRIVERS\
ET0005XSC,wanarp.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,Fs_Rec.sys,C:\Windows\System32\Drivers\
ET0005XSC,netbios.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,win32k.sys,C:\Windows\System32\
ET0005XSC,mouhid.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,wfplwf.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,pci.sys,C:\Windows\system32\drivers\
ET0005XSC,msisadrv.sys,C:\Windows\system32\drivers\
ET0005XSC,volsnap.sys,C:\Windows\system32\drivers\
ET0005XSC,mrxsmb.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,rspndr.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,Msfs.SYS,C:\Windows\System32\Drivers\
ET0005XSC,cdfs.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,rdpbus.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,kdcom.dll,C:\Windows\system32\
ET0005XSC,termdd.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,fvevol.sys,C:\Windows\System32\DRIVERS\
ET0005XSC,discache.sys,C:\Windows\System32\drivers\
ET0005XSC,USBD.SYS,C:\Windows\system32\DRIVERS\
ET0005XSC,ksecpkg.sys,C:\Windows\System32\Drivers\
ET0005XSC,amdxata.sys,C:\Windows\system32\drivers\
ET0005XSC,ntoskrnl.exe,C:\Windows\system32\
ET0005XSC,HIDCLASS.SYS,C:\Windows\system32\DRIVERS\
ET0005XSC,Null.SYS,C:\Windows\System32\Drivers\
ET0005XSC,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,monitor.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,Wdf01000.sys,C:\Windows\system32\drivers\
ET0005XSC,usbohci.sys,C:\Windows\system32\DRIVERS\
ET0005XSC,msahci.sys,C:\Windows\system32\drivers\
ET0005XSC,mssmbios.sys,C:\Windows\system32\DRIVERS\
