arguments,description,descriptivename,hostname,name,path,pathcertificateissuer,pathcertificatesubject,pathmd5sum,pathsignaturedescription,pathsignatureverified,pid
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,Microsoft .NET Framework NGEN,Microsoft .NET Framework NGEN v4.0.30319_X64,EC0003XSC,clr_optimization_v4.0.30319_64,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,Microsoft Code Signing PCA,Microsoft Dynamic Code Publisher,d22668c0a8f59f23529fdae7b519de81,The file is signed and the signature was verified.,true,0
system32\DRIVERS\mrxsmb.sys,Implements the framework for the SMB filesystem redirector,SMB MiniRedirector Wrapper and Engine,EC0003XSC,mrxsmb,C:\Windows\System32\drivers\mrxsmb.sys,Microsoft Windows Verification PCA,Microsoft Windows,3731e4660da2277cedd02bdaa5977c48,The file is signed and the signature was verified.,true,0
system32\DRIVERS\mrxsmb10.sys,Implements the SMB 1.x (CIFS) protocol. This protocol provides connectivity to network resources on pre-Windows Vista servers,SMB 1.x MiniRedirector,EC0003XSC,mrxsmb10,C:\Windows\System32\drivers\mrxsmb10.sys,Microsoft Windows Verification PCA,Microsoft Windows,99a8bdf679f2292ba822ffc2a39bad38,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k netsvcs,This service is responsible for loading and unloading user profiles. If this service is stopped or disabled  users will no longer be able to successfully logon or logoff  applications may have problems getting to users' data  and components registered to receive profile event notifications will not receive them.,User Profile Service,EC0003XSC,ProfSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,968
\SystemRoot\system32\drivers\ql2300.sys,,ql2300,EC0003XSC,ql2300,C:\Windows\System32\drivers\ql2300.sys,Microsoft Windows Verification PCA,Microsoft Windows,9345233fcb39197cc8291beb548de338,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\isapnp.sys,,isapnp,EC0003XSC,isapnp,C:\Windows\System32\drivers\isapnp.sys,Microsoft Windows Verification PCA,Microsoft Windows,6b2c70254434f9b1237cb629d52786a9,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k netsvcs,Provides notifications for AutoPlay hardware events.,Shell Hardware Detection,EC0003XSC,ShellHWDetection,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,968
C:\Windows\system32\lsass.exe,The startup of this service signals other services that the Security Accounts Manager (SAM) is ready to accept requests.  Disabling this service will prevent other services in the system from being notified when the SAM is ready  which may in turn cause those services to fail to start correctly. This service should not be disabled.,Security Accounts Manager,EC0003XSC,SamSs,C:\Windows\System32\lsass.exe,Microsoft Windows Verification PCA,Microsoft Windows,63d8919bd82ff4caa2fbb33123905320,The file is signed and the signature was verified.,true,460
\SystemRoot\system32\DRIVERS\wfplwf.sys,WFP Lightweight Filter,WFP Lightweight Filter,EC0003XSC,WfpLwf,C:\Windows\System32\drivers\wfplwf.sys,Microsoft Windows Verification PCA,Microsoft Windows,8a13c00a3af3689514986d5fadcd14af,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\ksthunk.sys,,Kernel Streaming Thunks,EC0003XSC,ksthunk,C:\Windows\System32\drivers\ksthunk.sys,Microsoft Windows Verification PCA,Microsoft Windows,14ee8cfc216e831042d5bfe8c0dced0d,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\sfloppy.sys,,High-Capacity Floppy Disk Drive,EC0003XSC,sfloppy,C:\Windows\System32\drivers\sfloppy.sys,Microsoft Windows Verification PCA,Microsoft Windows,f25a861e739fa289e41a2fb0954931e6,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\megasas.sys,,megasas,EC0003XSC,megasas,C:\Windows\System32\drivers\megasas.sys,Microsoft Windows Verification PCA,Microsoft Windows,f258a386b0de90745668e28e16b88904,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k netsvcs,Manages Internet SCSI (iSCSI) sessions from this computer to remote iSCSI target devices. If this service is stopped  this computer will not be able to login or access iSCSI targets. If this service is disabled  any services that explicitly depend on it will fail to start.,Microsoft iSCSI Initiator Service,EC0003XSC,MSiSCSI,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,0
System32\drivers\discache.sys,Attribute Cache Indexer,System Attribute Cache,EC0003XSC,discache,C:\Windows\System32\drivers\discache.sys,Microsoft Windows Verification PCA,Microsoft Windows,8ab2fa0fed5a7a77833c3a566a611976,The file is signed and the signature was verified.,true,0
system32\DRIVERS\raspptp.sys,WAN Miniport (PPTP),WAN Miniport (PPTP),EC0003XSC,PptpMiniport,C:\Windows\System32\drivers\raspptp.sys,Microsoft Windows Verification PCA,Microsoft Windows,3eea45a8d656491896cb455d438a96a4,The file is signed and the signature was verified.,true,0
C:\Windows\system32\msiexec.exe /V,Adds  modifies  and removes applications provided as a Windows Installer (*.msi) package. If this service is disabled  any services that explicitly depend on it will fail to start.,Windows Installer,EC0003XSC,msiserver,C:\Windows\System32\msiexec.exe,Microsoft Windows Verification PCA,Microsoft Windows,ddb6f915c58205e4a61148060de707ac,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\gagp30kx.sys,,Microsoft Generic AGPv3.0 Filter for K8 Processor Platforms,EC0003XSC,gagp30kx,C:\Windows\System32\drivers\GAGP30KX.SYS,Microsoft Windows Verification PCA,Microsoft Windows,335f902a9738eb71c85f6adb8a75d090,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\iaStorV.sys,,iaStorV,EC0003XSC,iaStorV,C:\Windows\System32\drivers\iaStorV.sys,Microsoft Windows Verification PCA,Microsoft Windows,fe55bed85978280a90d8c68b5d7c9996,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\disk.sys,,Disk Driver,EC0003XSC,Disk,C:\Windows\System32\drivers\disk.sys,Microsoft Windows Verification PCA,Microsoft Windows,e93f89e089dc47baddebf1acdcc3d9b3,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k NetworkService,Windows Remote Management (WinRM) service implements the WS-Management protocol for remote management. WS-Management is a standard web services protocol used for remote software and hardware management. The WinRM service listens on the network for WS-Management requests and processes them. The WinRM Service needs to be configured with a listener using winrm.cmd command line tool or through Group Policy in order for it to listen over the network. The WinRM service provides access to WMI data and enables event collection. Event collection and subscription to events require that the service is running. WinRM messages use HTTP and HTTPS as transports. The WinRM service does not depend on IIS but is preconfigured to share a port with IIS on the same machine.  The WinRM service reserves the /wsman URL prefix. To prevent conflicts with IIS  administrators should ensure that any websites hosted on IIS do not use the /wsman URL prefix.,Windows Remote Management (WS-Management),EC0003XSC,WinRM,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,852
C:\Windows\system32\IEEtwCollector.exe /V,ETW Collector Service for Internet Explorer. When running  this service collects real time ETW events and processes them.,Internet Explorer ETW Collector Service,EC0003XSC,IEEtwCollectorService,C:\Windows\System32\IEEtwCollector.exe,Microsoft Windows Verification PCA,Microsoft Windows,df893e0a23193acc9acdd386e3bb98b2,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalService,Provides Software Licensing activation and notification,SPP Notification Service,EC0003XSC,sppuinotify,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\dmvsc.sys,,dmvsc,EC0003XSC,dmvsc,C:\Windows\System32\drivers\dmvsc.sys,Microsoft Windows Verification PCA,Microsoft Windows,ff06e76d28730e6062585aa671b65aed,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\CompositeBus.sys,,Composite Bus Enumerator Driver,EC0003XSC,CompositeBus,C:\Windows\System32\drivers\CompositeBus.sys,Microsoft Windows Verification PCA,Microsoft Windows,14118de3cda26554b7c3b5b2ba26a9ed,The file is signed and the signature was verified.,true,0
\SystemRoot\System32\drivers\mountmgr.sys,Driver responsible with maintaining persistent drive letters and names for volumes,Mount Point Manager,EC0003XSC,mountmgr,C:\Windows\System32\drivers\mountmgr.sys,Microsoft Windows Verification PCA,Microsoft Windows,764752f1a1b2cd0456cd6d5e20a2fb4e,The file is signed and the signature was verified.,true,0
system32\DRIVERS\intelppm.sys,,Intel Processor Driver,EC0003XSC,intelppm,C:\Windows\System32\drivers\intelppm.sys,Microsoft Windows Verification PCA,Microsoft Windows,375807fc863b2201726722a637c473d0,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\stexstor.sys,,stexstor,EC0003XSC,stexstor,C:\Windows\System32\drivers\stexstor.sys,Microsoft Windows Verification PCA,Microsoft Windows,2418512f13fec2fbca496ac06983f385,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\VMBusHID.sys,,VMBusHID,EC0003XSC,VMBusHID,C:\Windows\System32\drivers\VMBusHID.sys,Microsoft Windows Verification PCA,Microsoft Windows,0d9bc84f25025d1bac7d2a7bf483dedd,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,Windows Firewall helps protect your computer by preventing unauthorized users from gaining access to your computer through the Internet or a network.,Windows Firewall,EC0003XSC,MpsSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,768
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe,Provides ability to share TCP ports over the net.tcp protocol.,Net.Tcp Port Sharing Service,EC0003XSC,NetTcpPortSharing,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe,Microsoft Code Signing PCA,Microsoft Corporation,8c26e2608904f7f3ad279145ecc748cd,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k WerSvcGroup,Allows errors to be reported when programs stop working or responding and allows existing solutions to be delivered. Also allows logs to be generated for diagnostic and repair services. If this service is stopped  error reporting might not work correctly and results of diagnostic services and repairs might not be displayed.,Windows Error Reporting Service,EC0003XSC,WerSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,0
C:\Windows\system32\lsass.exe,Provides secure storage and retrieval of credentials to users  applications and security service packages.,Credential Manager,EC0003XSC,VaultSvc,C:\Windows\System32\lsass.exe,Microsoft Windows Verification PCA,Microsoft Windows,63d8919bd82ff4caa2fbb33123905320,The file is signed and the signature was verified.,true,0
system32\DRIVERS\ndistapi.sys,Remote Access NDIS TAPI Driver,Remote Access NDIS TAPI Driver,EC0003XSC,NdisTapi,C:\Windows\System32\drivers\ndistapi.sys,Microsoft Windows Verification PCA,Microsoft Windows,f4fd66d34d704846689d509c264fc953,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\usbehci.sys,,Microsoft USB 2.0 Enhanced Host Controller Miniport Driver,EC0003XSC,usbehci,C:\Windows\System32\drivers\usbehci.sys,Microsoft Windows Verification PCA,Microsoft Windows,15aeb4927a1ba5201e64a07f1b96687a,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\sffdisk.sys,,SFF Storage Class Driver,EC0003XSC,sffdisk,C:\Windows\System32\drivers\sffdisk.sys,Microsoft Windows Verification PCA,Microsoft Windows,1803aaf8d99e37190e1a4a400a22cf79,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted,Registers the platform with all available Fibre Channel fabrics  and maintains the registrations.,Microsoft Fibre Channel Platform Registration Service,EC0003XSC,FCRegSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k netsvcs,The IKEEXT service hosts the Internet Key Exchange (IKE) and Authenticated Internet Protocol (AuthIP) keying modules. These keying modules are used for authentication and key exchange in Internet Protocol security (IPsec). Stopping or disabling the IKEEXT service will disable IKE and AuthIP key exchange with peer computers. IPsec is typically configured to use IKE or AuthIP; therefore  stopping or disabling the IKEEXT service might result in an IPsec failure and might compromise the security of the system. It is strongly recommended that you have the IKEEXT service running.,IKE and AuthIP IPsec Keying Modules,EC0003XSC,IKEEXT,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,968
C:\Windows\System32\svchost.exe -k netsvcs,Transfers files in the background using idle network bandwidth. If the service is disabled  then any applications that depend on BITS  such as Windows Update or MSN Explorer  will be unable to automatically download programs and other information.,Background Intelligent Transfer Service,EC0003XSC,BITS,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,968
C:\Windows\System32\svchost.exe -k netsvcs,This service provides support for viewing  sending and deletion of system-level problem reports for the Problem Reports and Solutions control panel.,Problem Reports and Solutions Control Panel Support,EC0003XSC,wercplsupport,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted,Enables generic input access to Human Interface Devices (HID)  which activates and maintains the use of predefined hot buttons on keyboards  remote controls  and other multimedia devices. If this service is stopped  hot buttons controlled by this service will no longer function. If this service is disabled  any services that explicitly depend on it will fail to start.,Human Interface Device Access,EC0003XSC,hidserv,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k netsvcs,Processes installation  removal  and enumeration requests for software deployed through Group Policy. If the service is disabled  users will be unable to install  remove  or enumerate software deployed through Group Policy. If this service is disabled  any services that explicitly depend on it will fail to start.,Application Management,EC0003XSC,AppMgmt,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,0
system32\drivers\peauth.sys,,PEAUTH,EC0003XSC,PEAUTH,C:\Windows\System32\drivers\PEAuth.sys,Microsoft Windows Verification PCA,Microsoft Windows,8bcd2d933cf73b887f0220e83ed21747,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\mssmbios.sys,,Microsoft System Management BIOS Driver,EC0003XSC,mssmbios,C:\Windows\System32\drivers\mssmbios.sys,Microsoft Windows Verification PCA,Microsoft Windows,69d9906f0e6b6291fd79c800ccd2bb29,The file is signed and the signature was verified.,true,0
C:\Windows\Microsoft.NET\Framework\v2.0.50727\mscorsvw.exe,Microsoft .NET Framework NGEN,Microsoft .NET Framework NGEN v2.0.50727_X86,EC0003XSC,clr_optimization_v2.0.50727_32,C:\Windows\Microsoft.NET\Framework\v2.0.50727\mscorsvw.exe,Microsoft Windows Verification PCA,Microsoft Windows,82bc7dae697d870979ac7bcea19165fa,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\nvraid.sys,,nvraid,EC0003XSC,nvraid,C:\Windows\System32\drivers\nvraid.sys,Microsoft Windows Verification PCA,Microsoft Windows,09ef372c5eac1023fe774343c4d3a3f0,The file is signed and the signature was verified.,true,0
C:\Windows\System32\spoolsv.exe,Loads files to memory for later printing,Print Spooler,EC0003XSC,Spooler,C:\Windows\System32\spoolsv.exe,Microsoft Windows Verification PCA,Microsoft Windows,beb73f62e4a357139bfa8b4afe4dd52f,The file is signed and the signature was verified.,true,1052
\SystemRoot\system32\drivers\wd.sys,,Wd,EC0003XSC,Wd,C:\Windows\System32\drivers\wd.sys,Microsoft Windows Verification PCA,Microsoft Windows,1ac8863d4189a31c9c76ac54267a08cf,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\parport.sys,,Parallel port driver,EC0003XSC,Parport,C:\Windows\System32\drivers\parport.sys,Microsoft Windows Verification PCA,Microsoft Windows,84f963354e7deeec8dedb99894b91f96,The file is signed and the signature was verified.,true,0
C:\Windows\System32\svchost.exe -k netsvcs,Allows administrators to remotely access a command prompt using Emergency Management Services.,Special Administration Console Helper,EC0003XSC,sacsvr,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,968
\SystemRoot\system32\drivers\fltmgr.sys,File System Filter Manager Driver,FltMgr,EC0003XSC,FltMgr,C:\Windows\System32\drivers\fltMgr.sys,Microsoft Windows Verification PCA,Microsoft Windows,0d5e63db04f3008e1bafd825de4bb164,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\adpu320.sys,,adpu320,EC0003XSC,adpu320,C:\Windows\System32\drivers\adpu320.sys,Microsoft Windows Verification PCA,Microsoft Windows,38d518c556fa281941167d2253f370a9,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\viaide.sys,,viaide,EC0003XSC,viaide,C:\Windows\System32\drivers\viaide.sys,Microsoft Windows Verification PCA,Microsoft Windows,0bea527e4b94169b5f6ad8d5e5acfea2,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k netsvcs,The service is responsible for applying settings configured by administrators for the computer and users through the Group Policy component. If the service is stopped or disabled  the settings will not be applied and applications and components will not be manageable through Group Policy. Any components or applications that depend on the Group Policy component might not be functional if the service is stopped or disabled.,Group Policy Client,EC0003XSC,gpsvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,968
\SystemRoot\system32\drivers\SiSRaid2.sys,,SiSRaid2,EC0003XSC,SiSRaid2,C:\Windows\System32\drivers\sisraid2.sys,Microsoft Windows Verification PCA,Microsoft Windows,f7cfb83578e866b6f0ef7763ae46d731,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k LocalService,This service delivers network notifications (e.g. interface addition/deleting etc) to user mode clients. Stopping this service will cause loss of network connectivity. If this service is disabled  any other services that explicitly depend on this service will fail to start.,Network Store Interface Service,EC0003XSC,nsi,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,828
\SystemRoot\system32\drivers\processr.sys,,Processor Driver,EC0003XSC,Processor,C:\Windows\System32\drivers\processr.sys,Microsoft Windows Verification PCA,Microsoft Windows,c18a5b58d5d7390cdfa3b5f129689bc6,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k netsvcs,Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped  users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.,Application Information,EC0003XSC,Appinfo,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,968
\SystemRoot\system32\drivers\lsi_scsi.sys,,LSI_SCSI,EC0003XSC,LSI_SCSI,C:\Windows\System32\drivers\lsi_scsi.sys,Microsoft Windows Verification PCA,Microsoft Windows,e3d6f503ed3cde1dc326648f6ee2a3a5,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k netsvcs,Supports file  print  and named-pipe sharing over the network for this computer. If this service is stopped  these functions will be unavailable. If this service is disabled  any services that explicitly depend on it will fail to start.,Server,EC0003XSC,LanmanServer,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,968
\SystemRoot\system32\drivers\msisadrv.sys,,msisadrv,EC0003XSC,msisadrv,C:\Windows\System32\drivers\msisadrv.sys,Microsoft Windows Verification PCA,Microsoft Windows,31a95e605ad7c7393866c9de48ea85e6,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\vmbus.sys,,vmbus,EC0003XSC,vmbus,C:\Windows\System32\drivers\vmbus.sys,Microsoft Windows Verification PCA,Microsoft Windows,54f1532bdda4f888da575a9a806d6d0a,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\arc.sys,,arc,EC0003XSC,arc,C:\Windows\System32\drivers\arc.sys,Microsoft Windows Verification PCA,Microsoft Windows,8199d679e5bf1b0351967a2f86a8226b,The file is signed and the signature was verified.,true,0
C:\Windows\system32\svchost.exe -k NetworkService,This service manages persistent subscriptions to events from remote sources that support WS-Management protocol. This includes Windows Vista event logs  hardware and IPMI-enabled event sources. The service stores forwarded events in a local Event Log. If this service is stopped or disabled event subscriptions cannot be created and forwarded events cannot be accepted.,Windows Event Collector,EC0003XSC,Wecsvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,741d8feeba91a40f2d6a9fda67cc6f0f,The file is signed and the signature was verified.,true,0
system32\DRIVERS\AgileVpn.sys,WAN Miniport (IKEv2),WAN Miniport (IKEv2),EC0003XSC,RasAgileVpn,C:\Windows\System32\drivers\agilevpn.sys,Microsoft Windows Verification PCA,Microsoft Windows,8d14c8fad0f45d4408bb55dd73842a19,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\ndis.sys,NDIS System Driver,NDIS System Driver,EC0003XSC,NDIS,C:\Windows\System32\drivers\ndis.sys,Microsoft Windows Verification PCA,Microsoft Windows,fc71044b4ef8c61877adf09c3454aa52,The file is signed and the signature was verified.,true,0
System32\drivers\tcpipreg.sys,Provides compatibility for legacy applications which interact with TCP/IP through the registry. If this service is stopped  certain applications may have impaired functionality.,TCP/IP Registry Compatibility,EC0003XSC,tcpipreg,C:\Windows\System32\drivers\tcpipreg.sys,Microsoft Windows Verification PCA,Microsoft Windows,d113239a8c728d3f7b1d8079c4216388,The file is signed and the signature was verified.,true,0
\SystemRoot\system32\drivers\vms3cap.sys,,s3cap,EC0003XSC,s3cap,C:\Windows\System32\drivers\vms3cap.sys,Microsoft Windows Verification PCA,Microsoft Windows,07001e333d014f0da1d6edbcf702c43e,The file is signed and the signature was verified.,true,0
system32\DRIVERS\netbios.sys,NetBIOS Interface,NetBIOS Interface,EC0003XSC,NetBIOS,C:\Windows\System32\drivers\netbios.sys,Microsoft Windows Verification PCA,Microsoft Windows,8b29e2c120f4ae6ca08eca20db39c01d,The file is signed and the signature was verified.,true,0
