arguments,description,descriptivename,hostname,md5,name,path,pathcertificateissuer,pathcertificatesubject,pathsignaturedescription,pathsignatureexists,pathsignatureverified,servicedll,type
\SystemRoot\system32\drivers\pciide.sys,,pciide,EC0003XSC,0db96cfbec6757dede385404bc454eb2,pciide,C:\Windows\System32\drivers\pciide.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\kbdclass.sys,,Keyboard Class Driver,EC0003XSC,ae366b1ee8fc8f268c1a9ad8ef71559e,kbdclass,C:\Windows\System32\drivers\kbdclass.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\swenum.sys,,Software Bus Driver,EC0003XSC,379c22cc0e843f40af375b00d6dfa1cb,swenum,C:\Windows\System32\drivers\swenum.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\vds.exe,Provides management services for disks  volumes  file systems  and storage arrays.,Virtual Disk,EC0003XSC,9497f7ce5732dce91aa5c04067a40785,vds,C:\Windows\System32\vds.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
C:\Windows\System32\svchost.exe -k termsvcs,Allows users to connect interactively to a remote computer. Remote Desktop and Remote Desktop Session Host Server depend on this service.  To prevent remote use of this computer  clear the checkboxes on the Remote tab of the System properties control panel item.,Remote Desktop Services,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,TermService,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\termsrv.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\iaStorV.sys,,iaStorV,EC0003XSC,9784c82a11aade315fbd0ef2603068f7,iaStorV,C:\Windows\System32\drivers\iaStorV.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k netsvcs,Processes installation  removal  and enumeration requests for software deployed through Group Policy. If the service is disabled  users will be unable to install  remove  or enumerate software deployed through Group Policy. If this service is disabled  any services that explicitly depend on it will fail to start.,Application Management,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,AppMgmt,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\appmgmts.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\System32\svchost.exe -k netsvcs,Provides notifications for AutoPlay hardware events.,Shell Hardware Detection,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,ShellHWDetection,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\shsvcs.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\wmiacpi.sys,,Microsoft Windows Management Interface for ACPI,EC0003XSC,e88618ede92c9e01648a2bccc318a02e,WmiAcpi,C:\Windows\System32\drivers\wmiacpi.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\fltmgr.sys,File System Filter Manager Driver,FltMgr,EC0003XSC,877f02ca6936522ddc663ebfafaaa22d,FltMgr,C:\Windows\System32\drivers\fltMgr.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
\SystemRoot\system32\drivers\atapi.sys,,atapi,EC0003XSC,77f04cc5d83ebec733c7dc5e8da431fb,atapi,C:\Windows\System32\drivers\atapi.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\sfloppy.sys,,High-Capacity Floppy Disk Drive,EC0003XSC,f25a861e739fa289e41a2fb0954931e6,sfloppy,C:\Windows\System32\drivers\sfloppy.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k defragsvc,Provides Disk Defragmentation Capabilities.,Disk Defragmenter,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,defragsvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\defragsvc.dll,SERVICE_WIN32_OWN_PROCESS
\SystemRoot\system32\drivers\usbuhci.sys,,Microsoft USB Universal Host Controller Miniport Driver,EC0003XSC,a94dbe86cddbd5808afc80cbf2e400fc,usbuhci,C:\Windows\System32\drivers\usbuhci.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k netsvcs,Enables relative prioritization of work based on system-wide task priorities. This is intended mainly for multimedia applications.  If this service is stopped  individual tasks resort to their default priority.,Multimedia Class Scheduler,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,MMCSS,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\mmcss.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k netsvcs,Enables the detection  download  and installation of updates for Windows and other programs. If this service is disabled  users of this computer will not be able to use Windows Update or its automatic updating feature  and programs will not be able to use the Windows Update Agent (WUA) API.,Windows Update,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,wuauserv,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\wuaueng.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k DcomLaunch,Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.,Plug and Play,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,PlugPlay,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\umpnpmgr.dll,SERVICE_WIN32_SHARE_PROCESS
system32\DRIVERS\wanarp.sys,Remote Access IP ARP Driver,Remote Access IP ARP Driver,EC0003XSC,4e1c4ff9728d482f089d643ba1c18393,WANARP,C:\Windows\System32\drivers\wanarp.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\svchost.exe -k NetworkService,Collects and stores configuration information for the network and notifies programs when this information is modified. If this service is stopped  configuration information might be unavailable. If this service is disabled  any services that explicitly depend on it will fail to start.,Network Location Awareness,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,NlaSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\nlasvc.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\System32\msdtc.exe,Coordinates transactions that span multiple resource managers  such as databases  message queues  and file systems. If this service is stopped  these transactions will fail. If this service is disabled  any services that explicitly depend on it will fail to start.,Distributed Transaction Coordinator,EC0003XSC,181ee89df4fdc19db684dca4b020ac32,MSDTC,C:\Windows\System32\msdtc.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
C:\Windows\System32\svchost.exe -k NetworkService,Creates and maintains client network connections to remote servers using the SMB protocol. If this service is stopped  these connections will be unavailable. If this service is disabled  any services that explicitly depend on it will fail to start.,Workstation,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,LanmanWorkstation,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\wkssvc.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\System32\snmptrap.exe,Receives trap messages generated by local or remote Simple Network Management Protocol (SNMP) agents and forwards the messages to SNMP management programs running on this computer. If this service is stopped  SNMP-based programs on this computer will not receive SNMP trap messages. If this service is disabled  any services that explicitly depend on it will fail to start.,SNMP Trap,EC0003XSC,8d1de9c75c4f73c33a2ece4adc92a07c,SNMPTRAP,C:\Windows\System32\snmptrap.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_OWN_PROCESS
\SystemRoot\system32\drivers\storvsp.sys,,storvsp,EC0003XSC,e355b0ecc046a65c4a6d4066cac31a34,storvsp,C:\Windows\System32\drivers\storvsp.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\mrxsmb10.sys,Implements the SMB 1.x (CIFS) protocol. This protocol provides connectivity to network resources on pre-Windows Vista servers,SMB 1.x MiniRedirector,EC0003XSC,99a8bdf679f2292ba822ffc2a39bad38,mrxsmb10,C:\Windows\System32\drivers\mrxsmb10.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
\SystemRoot\system32\drivers\Wdf01000.sys,,Kernel Mode Driver Frameworks service,EC0003XSC,1edbaff62b5587d0e769164ac41c0a6d,Wdf01000,C:\Windows\System32\drivers\Wdf01000.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,The Diagnostic System Host is used by the Diagnostic Policy Service to host diagnostics that need to run in a Local System context.  If this service is stopped  any diagnostics that depend on it will no longer function.,Diagnostic System Host,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,WdiSystemHost,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\wdi.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\System32\Drivers\BrSerWdm.sys,,Brother WDM Serial driver,EC0003XSC,518dcbcef71f72e2d45624b63c57e621,BrSerWdm,C:\Windows\System32\drivers\BrSerWdm.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\System32\svchost.exe -k tapisrv,Provides Telephony API (TAPI) support for programs that control telephony devices on the local computer and  through the LAN  on servers that are also running the service.,Telephony,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,TapiSrv,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\tapisrv.dll,SERVICE_WIN32_OWN_PROCESS
system32\DRIVERS\ndiswan.sys,Remote Access NDIS WAN Driver,Remote Access NDIS WAN Driver,EC0003XSC,14167cc5b0560945e52db4f601be32ea,NdisWan,C:\Windows\System32\drivers\ndiswan.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\flpydisk.sys,,Floppy Disk Driver,EC0003XSC,0e4a9455655f780f2d6afc45a835af0b,flpydisk,C:\Windows\System32\drivers\flpydisk.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\amdsata.sys,,amdsata,EC0003XSC,b0a0b80aa8e6ec4afa83edf674481178,amdsata,C:\Windows\System32\drivers\amdsata.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\iirsp.sys,,iirsp,EC0003XSC,1852ba809ced66ed3f90714bb11edc7f,iirsp,C:\Windows\System32\drivers\iirsp.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k regsvc,Enables remote users to modify registry settings on this computer. If this service is stopped  the registry can be modified only by users on this computer. If this service is disabled  any services that explicitly depend on it will fail to start.,Remote Registry,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,RemoteRegistry,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\regsvc.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\usbhub.sys,,Microsoft USB Standard Hub Driver,EC0003XSC,06450744626957a7e19d6326bb859d3c,usbhub,C:\Windows\System32\drivers\usbhub.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\arcsas.sys,,arcsas,EC0003XSC,111df8150aab6a34ec9260b40b033e4a,arcsas,C:\Windows\System32\drivers\arcsas.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\mrxsmb20.sys,Implements the SMB 2.0 protocol  which provides connectivity to network resources on Windows Vista and later servers,SMB 2.0 MiniRedirector,EC0003XSC,56c0f8487bc074bb68f7693ee5f39569,mrxsmb20,C:\Windows\System32\drivers\mrxsmb20.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
\SystemRoot\System32\Drivers\BrUsbSer.sys,,Brother MFC USB Serial WDM Driver,EC0003XSC,06cd41539b0a63746ef0a04f70a76eed,BrUsbSer,C:\Windows\System32\drivers\BrUsbSer.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k netsvcs,Provides a common interface and object model to access management information about operating system  devices  applications and services. If this service is stopped  most Windows-based software will not function properly. If this service is disabled  any services that explicitly depend on it will fail to start.,Windows Management Instrumentation,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,Winmgmt,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\wbem\WMIsvc.dll,SERVICE_WIN32_SHARE_PROCESS
system32\drivers\nsiproxy.sys,NSI proxy service.,NSI proxy service driver.,EC0003XSC,96c23a97a994f6936307f21a0eac683d,nsiproxy,C:\Windows\System32\drivers\nsiproxy.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\aliide.sys,,aliide,EC0003XSC,27dd10ac78ba11f906955bfa70bca92f,aliide,C:\Windows\System32\drivers\aliide.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\ql2300.sys,,ql2300,EC0003XSC,9345233fcb39197cc8291beb548de338,ql2300,C:\Windows\System32\drivers\ql2300.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k netsvcs,Processes application compatibility cache requests for applications as they are launched,Application Experience,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,AeLookupSvc,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\aelupsvc.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k DcomLaunch,Manages power policy and power policy notification delivery.,Power,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,Power,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\umpo.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k LocalService,Provides ordered execution for a group of threads within a specific period of time.,Thread Ordering Server,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,THREADORDER,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\mmcss.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\fdc.sys,,Floppy Disk Controller Driver,EC0003XSC,5997adf4c463ca184d7f5d33809279c2,fdc,C:\Windows\System32\drivers\fdc.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\DRIVERS\bowser.sys,Implements the kernel datagram receiver for the computer browser browser service.,Browser Support Driver,EC0003XSC,5a8ca22fda6ba21c5fe0e35f6ddff3d7,bowser,C:\Windows\System32\drivers\bowser.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
\SystemRoot\System32\drivers\dxgkrnl.sys,Controls the underlying video driver stacks to provide fully-featured display capabilities.,LDDM Graphics Subsystem,EC0003XSC,2c2b0f6803bde7c8026cab7628635391,DXGKrnl,C:\Windows\System32\drivers\dxgkrnl.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\aswbloga.sys,,aswblog,EC0003XSC,74751f3dd525e0ff14014a4e92574398,aswblog,C:\Windows\System32\drivers\aswbloga.sys,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,Manages audio for Windows-based programs.  If this service is stopped  audio devices and effects will not function properly.  If this service is disabled  any services that explicitly depend on it will fail to start,Windows Audio,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,AudioSrv,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\audiosrv.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k NetworkService,The DNS Client service (dnscache) caches Domain Name System (DNS) names and registers the full computer name for this computer. If the service is stopped  DNS names will continue to be resolved. However  the results of DNS name queries will not be cached and the computer's name will not be registered. If the service is disabled  any services that explicitly depend on it will fail to start.,DNS Client,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,Dnscache,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\dnsrslvr.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\amdide.sys,,amdide,EC0003XSC,daab1da96b818a13e771ad3447ea468b,amdide,C:\Windows\System32\drivers\amdide.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\system32\drivers\stexstor.sys,,stexstor,EC0003XSC,2418512f13fec2fbca496ac06983f385,stexstor,C:\Windows\System32\drivers\stexstor.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\drivers\aswSnx.sys,,aswSnx,EC0003XSC,b90b46c53ea223e55146487b165c98cb,aswSnx,C:\Windows\System32\drivers\aswSnx.sys,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
\SystemRoot\system32\drivers\vioscsi.sys,,vioscsi,EC0003XSC,8ef57b39c978e04b981a1864dbf699e0,vioscsi,C:\Windows\System32\drivers\vioscsi.sys,Symantec Class 3 SHA256 Code Signing CA,Google Inc,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
\SystemRoot\System32\Drivers\BrUsbMdm.sys,,Brother MFC USB Fax Only Modem,EC0003XSC,de3a86286e9666a0c7709a0c34f9bbe3,BrUsbMdm,C:\Windows\System32\drivers\BrUsbMdm.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
C:\Windows\system32\svchost.exe -k netsvcs,Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped  users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.,Application Information,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,Appinfo,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\appinfo.dll,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\lsass.exe,The CNG key isolation service is hosted in the LSA process. The service provides key process isolation to private keys and associated cryptographic operations as required by the Common Criteria. The service stores and uses long-lived keys in a secure process complying with Common Criteria requirements.,CNG Key Isolation,EC0003XSC,63d8919bd82ff4caa2fbb33123905320,KeyIso,C:\Windows\System32\lsass.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_SHARE_PROCESS
C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,Allows UPnP devices to be hosted on this computer. If this service is stopped  any hosted UPnP devices will stop functioning and no additional hosted devices can be added. If this service is disabled  any services that explicitly depend on it will fail to start.,UPnP Device Host,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,upnphost,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,C:\Windows\System32\upnphost.dll,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\system32\drivers\luafv.sys,Virtualizes file write failures to per-user locations.,UAC File Virtualization,EC0003XSC,bd9eb111ad9cce3bb22658c812d02f4e,luafv,C:\Windows\System32\drivers\luafv.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,This service manages events and event logs. It supports logging events  querying events  subscribing to events  archiving event logs  and managing event metadata. It can display events in both XML and plain text format. Stopping this service may compromise security and reliability of the system.,Windows Event Log,EC0003XSC,741d8feeba91a40f2d6a9fda67cc6f0f,eventlog,C:\Windows\System32\svchost.exe,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_WIN32_SHARE_PROCESS
\SystemRoot\System32\drivers\hwpolicy.sys,Contains Processor and other policies,Hardware Policy Driver,EC0003XSC,b36ef597cbb24cb1350d254693b44551,hwpolicy,C:\Windows\System32\drivers\hwpolicy.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\drivers\aswRdr2.sys,,aswRdr,EC0003XSC,33d927bea23372c9d1793e0bb8ffdf51,aswRdr,C:\Windows\System32\drivers\aswRdr2.sys,DigiCert High Assurance Code Signing CA-1,AVAST Software s.r.o.,The file is signed and the signature was verified.,true,true,,SERVICE_KERNEL_DRIVER
system32\drivers\fileinfo.sys,Collects information about files in memory to be consumed by other system services.,File Information FS MiniFilter,EC0003XSC,9a45f8782d2d1e3034a4dbbeeb628c58,FileInfo,C:\Windows\System32\drivers\fileinfo.sys,Microsoft Windows Verification PCA,Microsoft Windows,The file is signed and the signature was verified.,true,true,,SERVICE_FILE_SYSTEM_DRIVER
